,TUCASEID,TULINENO,HRYEAR4,PEAFNOW,PEMLR,PEHRWANT,PESCHENR,PEDWWNTO,TELE2019,TELECOVID,TELENOW,EMPA,EMPB,EMPC,EMPD,EMPSTAT,TELEALL,CORR
52043,20200201201858,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52044,20200201201861,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52046,20200201201862,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52049,20200201201866,3,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52050,20200201201867,1,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52051,20200201201867,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52052,20200201201869,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52055,20200201201873,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52056,20200201201873,2,2019,2,1,1,2,-1,-1,-1,-1,-1,-1,2,2,2,-1,2
52057,20200201201873,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52059,20200201201874,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52060,20200201201874,3,2019,2,6,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52061,20200201201875,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52063,20200201201878,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52064,20200201201879,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52065,20200201201881,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52066,20200201201882,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52067,20200201201882,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52069,20200201201882,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52070,20200201201882,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52072,20200201201894,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52073,20200201201894,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52076,20200201201897,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52077,20200201201897,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52078,20200201201897,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52079,20200201201897,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52080,20200201201897,5,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52081,20200201201899,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52082,20200201201899,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52083,20200201201901,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52084,20200201201901,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52085,20200201201901,3,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52086,20200201201901,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52087,20200201201904,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52088,20200201201904,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52089,20200201201904,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52090,20200201201904,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52091,20200201201909,1,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52093,20200201201912,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52094,20200201201913,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52095,20200201201913,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52097,20200201201914,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52098,20200201201914,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52099,20200201201914,3,2019,2,1,1,2,-1,-1,-1,-1,-1,-1,2,2,2,-1,2
52101,20200201201919,1,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52102,20200201201919,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52103,20200201201919,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52104,20200201201920,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52105,20200201201922,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52106,20200201201924,1,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52108,20200201201925,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52109,20200201201925,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52110,20200201201925,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52111,20200201201925,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52112,20200201201930,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52113,20200201201930,2,2019,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52114,20200201201930,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52115,20200201201936,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52116,20200201201936,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52117,20200201201937,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52118,20200201201937,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52122,20200201201939,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52123,20200201201939,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52124,20200201201941,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52125,20200201201944,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52126,20200201201944,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52129,20200201201947,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52130,20200201201949,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52132,20200201201951,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52133,20200201201951,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52134,20200201201951,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52135,20200201201951,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52136,20200201201954,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52137,20200201201955,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52138,20200201201955,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52139,20200201201956,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52141,20200201201957,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52142,20200201201957,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52143,20200201201959,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52144,20200201201959,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52146,20200201201959,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52147,20200201201959,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52148,20200201201962,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52153,20200201201968,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52154,20200201201969,1,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52155,20200201201969,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52156,20200201201971,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52157,20200201201971,2,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52160,20200201201971,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52161,20200201201972,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52169,20200201201988,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52170,20200201201988,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52171,20200201201988,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52172,20200201201988,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52173,20200201201990,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52174,20200201201990,2,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52178,20200201201992,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52180,20200201202002,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52181,20200201202002,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52182,20200201202003,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52183,20200201202003,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52186,20200201202014,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52187,20200201202014,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52188,20200201202014,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52189,20200201202014,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52190,20200201202017,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52191,20200201202017,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52192,20200201202018,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52193,20200201202018,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52194,20200201202018,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52196,20200201202021,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52198,20200201202031,2,2019,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52200,20200201202039,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52201,20200201202039,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52202,20200201202039,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52203,20200201202039,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52204,20200201202039,5,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52205,20200201202039,6,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52207,20200201202039,8,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52208,20200201202040,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52209,20200201202040,2,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52210,20200201202040,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52211,20200201202040,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52213,20200201202048,1,2019,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52215,20200201202049,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52216,20200201202053,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52220,20200201202060,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52221,20200201202063,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52222,20200201202063,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52224,20200201202064,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52225,20200201202064,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52226,20200201202064,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52227,20200201202064,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52228,20200201202065,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52229,20200201202065,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52230,20200201202067,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52231,20200201202067,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52232,20200201202067,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52233,20200201202068,1,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52234,20200201202068,2,2019,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52235,20200201202068,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52236,20200201202069,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52237,20200201202071,1,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52238,20200201202071,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52239,20200201202071,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52240,20200201202071,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52245,20200201202079,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52246,20200201202079,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52247,20200201202080,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52248,20200201202080,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52249,20200201202080,3,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52250,20200201202080,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52251,20200201202082,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52252,20200201202082,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52253,20200201202085,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52254,20200201202085,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52256,20200201202085,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52257,20200201202085,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52258,20200201202085,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52259,20200201202085,7,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52260,20200201202086,1,2019,2,1,3,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52261,20200201202087,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52262,20200201202087,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52263,20200201202087,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52264,20200201202088,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52265,20200201202088,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52266,20200201202089,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52267,20200201202089,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52268,20200201202089,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52269,20200201202089,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52270,20200201202089,5,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52271,20200201202096,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52272,20200201202096,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52273,20200201202096,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52274,20200201202100,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52275,20200201202102,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52276,20200201202102,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52277,20200201202105,1,2019,2,7,-1,2,1,-1,-1,-1,-1,2,-1,2,2,-1,2
52278,20200201202105,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52280,20200201202114,1,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52281,20200201202114,2,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52283,20200201202114,4,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52284,20200201202114,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52285,20200201202114,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52286,20200201202114,7,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52287,20200201202114,8,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52288,20200201202115,1,2019,2,1,3,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52289,20200201202116,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52290,20200201202117,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52291,20200201202117,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52292,20200201202117,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52293,20200201202117,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52294,20200201202117,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52295,20200201202117,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52296,20200201202120,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52299,20200201202120,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52300,20200201202120,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52301,20200201202130,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52302,20200201202130,2,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52303,20200201202130,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52304,20200201202134,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52305,20200201202134,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52306,20200201202134,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52307,20200201202134,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52311,20200201202137,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52312,20200201202137,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52313,20200201202137,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52314,20200201202137,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52316,20200201202141,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52317,20200201202141,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52318,20200201202141,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52321,20200201202142,3,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52322,20200201202142,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52323,20200201202142,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52324,20200201202145,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52326,20200201202147,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52327,20200201202147,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52328,20200201202147,3,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52329,20200201202147,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52330,20200201202148,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52331,20200201202148,2,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52332,20200201202149,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52333,20200201202149,2,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52334,20200201202152,1,2019,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52335,20200201202153,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52336,20200201202153,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52342,20200201202158,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52343,20200201202159,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52344,20200201202159,2,2019,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52345,20200201202159,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52347,20200201202162,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52348,20200201202162,4,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52349,20200201202162,5,2019,2,7,-1,2,4,-1,-1,-1,-1,2,-1,2,2,-1,2
52350,20200201202162,6,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52351,20200201202163,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52352,20200201202163,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52354,20200201202165,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52356,20200201202168,1,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52359,20200201202170,2,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52361,20200201202170,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52362,20200201202170,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52363,20200201202174,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
52365,20200201202175,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52366,20200201202175,2,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52367,20200201202177,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
52368,20200201202177,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52369,20200201202177,3,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52370,20200201202180,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
52371,20200201202180,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
